date,cycle_entry,nav,nifty
2026-07-30,2026-07-30,100.00,100.00
2026-07-31,2026-07-30,101.64,100.27
2026-08-03,2026-07-30,102.60,101.88
2026-08-05,2026-07-30,102.90,101.26
2026-08-07,2026-07-30,102.05,101.04
2026-08-10,2026-07-30,102.97,101.10
2026-08-12,2026-07-30,103.93,100.49
