entry_date,symbol,entry_px,weight,mom_12_1_pct
2026-07-30,IDEA,12.87,0.0500,105.3
2026-07-30,GVT&D,4202.30,0.0500,104.5
2026-07-30,ADANIPOWER,208.97,0.0500,98.8
2026-07-30,MCX,2677.00,0.0500,92.3
2026-07-30,ADANIENSOL,1659.00,0.0500,86.5
2026-07-30,NATIONALUM,347.65,0.0500,86.3
2026-07-30,POWERINDIA,31250.00,0.0500,81.5
2026-07-30,BHARATFORG,2164.70,0.0500,77.6
2026-07-30,BHEL,403.00,0.0500,75.2
2026-07-30,LAURUSLABS,1781.30,0.0500,68.2
2026-07-30,SHRIRAMFIN,1027.20,0.0500,66.5
2026-07-30,FEDERALBNK,354.15,0.0500,61.8
2026-07-30,CUMMINSIND,5396.00,0.0500,61.2
2026-07-30,BSE,3530.30,0.0500,61.0
2026-07-30,LTF,306.25,0.0500,56.4
2026-07-30,ABCAPITAL,394.05,0.0500,54.9
2026-07-30,NAM-INDIA,1146.90,0.0500,54.0
2026-07-30,ADANIGREEN,1358.70,0.0500,52.9
2026-07-30,CGPOWER,832.60,0.0500,48.5
2026-07-30,NYKAA,333.75,0.0500,47.9
